INSTRUMENT_TYPE;TRADE_CODE;EMITENT_FULL_NAME;NOMINAL;CURRENCY;ISSUE_AMOUNT;DISCLOSURE_PART_PAGE;DISCLOSURE_RF_INFO_PAGE
Акция обыкновенная;CBOM;"""МОСКОВСКИЙ КРЕДИТНЫЙ БАНК"" (публичное акционерное общество)";1;Рубль;23879709866;http://www.mkb.ru;http://www.e-disclosure.ru/portal/company.aspx?id=202
Акция обыкновенная;ALRS;"Акционерная компания ""АЛРОСА"" (публичное акционерное общество)";0,5;Рубль;7364965630;http://www.alrosa.ru/инвесторам-и-акционерам/;http://www.e-disclosure.ru/portal/company.aspx?id=199
Акция обыкновенная;VTBR;Банк ВТБ (публичное акционерное общество);0,01;Рубль;1,29605E+13;www.vtb.ru;http://www.e-disclosure.ru /portal/company.aspx?id=1210
Акция обыкновенная;IRGZ;Иркутское публичное акционерное общество энергетики и электрификации;1;Рубль;4766807700;http://www.irkutskenergo.ru/qa/reports.html;http://www.e-disclosure.ru/portal/company.aspx?id=3899
Акции иностранного эмитента;YNDX;"Компания с ограниченной ответственностью ""Яндекс Н.В.""";0,01;Евро;284458784;"https://yandex.ru/company/prospectus/; http://ir.yandex.com/sec.cfm";http://www.e-disclosure.ru/portal/company.aspx?id=34514
Акция обыкновенная;MAGN;"Открытое акционерное общество ""Магнитогорский металлургический комбинат""";1;Рубль;11174330000;http://www.mmk.ru;http://www.e-disclosure.ru/portal/company.aspx?id=9
Акция обыкновенная;MRKU;"Открытое акционерное общество ""Межрегиональная распределительная сетевая компания Урала""";0,1;Рубль;87430485711;https://www.mrsk-ural.ru;http://www.e-disclosure.ru/portal/company.aspx?id=12105
Акция обыкновенная;NVTK;"Открытое акционерное общество ""НОВАТЭК""";0,1;Рубль;3036306000;http://www.novatek.ru/ru/investors/disclosure/facts/;http://www.e-disclosure.ru/portal/company.aspx?id=225
Акция обыкновенная;BSPB;"ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""БАНК ""САНКТ-ПЕТЕРБУРГ""";1;Рубль;439554000;https://www.bspb.ru;http://www.e-disclosure.ru/portal/company.aspx?id=3935
Акции иностранного эмитента;POLY;Полиметалл Интернэшнл плс (Polymetal International plc);;;427141648;http://www.polymetalinternational.com/investors-and-media.aspx?sc_lang=ru-RU;http://www.e-disclosure.ru/portal/company.aspx?id=33331
